,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,capacity
0,0,Project 21,131496,170895,179437.1667,5/1/44,10/28/48 15:00,10/19/49 14:00,Humboldt,1000
1,1,Project 20,131496,162352.8333,170895,5/1/44,11/7/47 17:00,10/28/48 15:00,Humboldt,1000
2,2,Project 19,122712,153810.6667,162352.8333,5/1/43,11/16/46 19:00,11/7/47 17:00,Humboldt,1000
3,3,Project 18,113952,145268.5,153810.6667,5/1/42,11/25/45 21:00,11/16/46 19:00,Humboldt,1000
4,4,Project 35,113952,142412.5,150954.6667,5/1/42,7/29/45 21:00,7/20/46 19:00,Long Beach,1000
5,5,Project 17,105192,136726.3333,145268.5,5/1/41,12/4/44 23:00,11/25/45 21:00,Humboldt,1000
6,6,Project 34,96432,133870.3333,142412.5,5/1/40,8/7/44 23:00,7/29/45 21:00,Long Beach,1000
7,7,Project 29,96432,128184.1667,136726.3333,5/1/40,12/15/43 1:00,12/4/44 23:00,Coos Bay,1000
8,8,Project 16,96432,125328.1667,133870.3333,5/1/40,8/18/43 1:00,8/7/44 23:00,Humboldt,1000
9,9,Project 28,87648,119642,128184.1667,5/1/39,12/24/42 3:00,12/15/43 1:00,Coos Bay,1000
10,10,Project 15,87648,116786,125328.1667,5/1/39,8/27/42 3:00,8/18/43 1:00,Humboldt,1000
11,11,Project 33,78888,111099.8333,119642,5/1/38,1/2/42 4:00,12/24/42 3:00,Long Beach,1000
12,12,Project 27,78888,108243.8333,116786,5/1/38,9/5/41 4:00,8/27/42 3:00,Coos Bay,1000
13,13,Project 14,78888,102557.6667,111099.8333,5/1/38,1/11/41 6:00,1/2/42 4:00,Humboldt,1000
14,14,Project 26,70128,99701.66667,108243.8333,5/1/37,9/14/40 6:00,9/5/41 4:00,Coos Bay,1000
15,15,Project 13,70128,94015.5,102557.6667,5/1/37,1/21/40 8:00,1/11/41 6:00,Humboldt,1000
16,16,Project 32,61368,91159.5,99701.66667,5/1/36,9/24/39 8:00,9/14/40 6:00,Long Beach,1000
17,17,Project 25,61368,85473.33333,94015.5,5/1/36,1/30/39 10:00,1/21/40 8:00,Coos Bay,1000
18,18,Project 12,61368,82617.33333,91159.5,5/1/36,10/3/38 10:00,9/24/39 8:00,Humboldt,1000
19,19,Project 24,52584,76931.16667,85473.33333,5/1/35,2/8/38 12:00,1/30/39 10:00,Coos Bay,1000
20,20,Project 11,52584,74075.16667,82617.33333,5/1/35,10/12/37 12:00,10/3/38 10:00,Humboldt,1000
21,21,Project 23,43824,68389,76931.16667,5/1/34,2/17/37 14:00,2/8/38 12:00,Coos Bay,1000
22,22,Project 31,43824,65533,74075.16667,5/1/34,10/21/36 14:00,10/12/37 12:00,Long Beach,1000
23,23,Project 22,35064,56990.83333,68389,5/1/33,10/31/35 15:00,2/17/37 14:00,Coos Bay,1000
24,24,Project 10,43824,56990.83333,65533,5/1/34,10/31/35 15:00,10/21/36 14:00,Humboldt,1000
25,25,Project 9,35064,45592.66667,56990.83333,5/1/33,7/13/34 17:00,10/31/35 15:00,Humboldt,1000
26,26,Project 30,26304,45592.66667,56990.83333,5/1/32,7/13/34 17:00,10/31/35 15:00,Long Beach,1000
27,27,Project 7,26304,34194.5,45592.66667,5/1/32,3/25/33 19:00,7/13/34 17:00,Coos Bay,1000
28,28,Project 8,26304,34194.5,45592.66667,5/1/32,3/25/33 19:00,7/13/34 17:00,Humboldt,1000
29,29,Project 6,17520,22796.33333,34194.5,5/1/31,12/6/31 21:00,3/25/33 19:00,Coos Bay,1000
30,30,Project 3,17520,22796.33333,34194.5,5/1/31,12/6/31 21:00,3/25/33 19:00,Long Beach,1000
31,31,Project 5,8760,11398.16667,22796.33333,5/1/30,8/18/30 23:00,12/6/31 21:00,Humboldt,1000
32,32,Project 2,8760,11398.16667,22796.33333,5/1/30,8/18/30 23:00,12/6/31 21:00,Long Beach,1000
33,33,Project 4,0,0,11398.16667,5/1/29,5/1/29 0:00,8/18/30 23:00,Humboldt,1000
34,34,Project 1,0,0,11398.16667,5/1/29,5/1/29 0:00,8/18/30 23:00,Long Beach,1000